category,questionText,option1,option2,option3,option4,correctAnswer,equation
Algebra,"Solve: 3^x = 27","x = 3","x = 9","x = 27","x = 1",0,"3^x = 27"
Algebra,"Simplify: √(16x⁴)","4x²","8x²","4x⁴","16x²",0,"√(16x⁴)"
Algebra,"What is the inverse of f(x) = 2x + 1?","f⁻¹(x) = (x - 1)/2","f⁻¹(x) = (x + 1)/2","f⁻¹(x) = 2x - 1","f⁻¹(x) = x/2 + 1",0,"f(x) = 2x + 1"
Algebra,"Solve: log₂(x) = 4","x = 16","x = 8","x = 4","x = 2",0,"log₂(x) = 4"
Algebra,"Factor: 2x² + 7x + 3","(2x + 1)(x + 3)","(2x + 3)(x + 1)","(x + 1)(2x + 3)","(x + 3)(2x + 1)",1,"2x² + 7x + 3"
Algebra,"What is the range of f(x) = x² + 1?","y ≥ 1","y ≥ 0","All real numbers","y ≤ 1",0,"f(x) = x² + 1"
Algebra,"Solve: e^x = 7","x = ln(7)","x = 7","x = log(7)","x = e⁷",0,"e^x = 7"
Algebra,"Simplify: (x³)² ÷ x⁴","x²","x⁶","x⁵","x",0,"(x³)² ÷ x⁴"
Algebra,"What is the discriminant of x² + 3x - 4?","25","9","16","1",0,"x² + 3x - 4"
Algebra,"Solve: √(x + 5) = 3","x = 4","x = 14","x = 9","x = 2",0,"√(x + 5) = 3"
Algebra,"Factor: x³ - 8","(x - 2)(x² + 2x + 4)","(x - 2)³","(x + 2)(x² - 2x + 4)","(x - 2)(x + 2)²",0,"x³ - 8"
Algebra,"What is the sum of roots of x² - 5x + 6 = 0?","5","6","-5","-6",0,"x² - 5x + 6 = 0"
Algebra,"Solve: 2^(x+1) = 16","x = 3","x = 4","x = 5","x = 2",0,"2^(x+1) = 16"
Algebra,"Simplify: (a²b³)/(ab²)","ab","a²b","ab²","a/b",0,"(a²b³)/(ab²)"
Algebra,"What is the axis of symmetry of y = 2x² - 8x + 5?","x = 2","x = -2","x = 4","x = 1",0,"y = 2x² - 8x + 5"
Algebra,"Solve: |2x - 3| = 9","x = 6 or x = -3","x = 3 or x = 6","x = -6 or x = 3","x = 9 or x = -3",0,"|2x - 3| = 9"
Algebra,"Factor: x⁴ - 1","(x² + 1)(x + 1)(x - 1)","(x + 1)²(x - 1)²","(x² - 1)²","(x + 1)(x - 1)(x² + 1)",0,"x⁴ - 1"
Algebra,"What is f(3) if f(x) = x² - 2x + 1?","4","6","10","16",0,"f(x) = x² - 2x + 1"
Algebra,"Solve: ln(x) = 2","x = e²","x = 2","x = e","x = 2e",0,"ln(x) = 2"
Algebra,"Simplify: ∛(27x³)","3x","9x","27x","x³",0,"∛(27x³)"
Algebra,"What is the product of roots of x² + 2x - 8 = 0?","-8","2","8","-2",0,"x² + 2x - 8 = 0"
Algebra,"Solve: 4x² = 36","x = ±3","x = ±9","x = ±6","x = 3",0,"4x² = 36"
Algebra,"Factor: 6x² - 13x + 6","(2x - 3)(3x - 2)","(6x - 1)(x - 6)","(3x - 2)(2x - 3)","(x - 2)(6x - 3)",0,"6x² - 13x + 6"
Algebra,"What is the equation of line through (0,3) with slope 2?","y = 2x + 3","y = 3x + 2","y = 2x - 3","y = x + 5",0,"Point: (0,3), slope: 2"
Algebra,"Solve: 5^(2x) = 125","x = 3/2","x = 2","x = 5/2","x = 3",0,"5^(2x) = 125"
Algebra,"Simplify: (2x + 3)²","4x² + 12x + 9","4x² + 6x + 9","2x² + 12x + 9","4x² + 9",0,"(2x + 3)²"
Algebra,"What is the distance between points (1,2) and (4,6)?","5","3","4","7",0,"Points: (1,2) and (4,6)"
Algebra,"Solve: x/(x-1) = 3","x = 3/2","x = 2","x = 4/3","x = 1",0,"x/(x-1) = 3"
Algebra,"Factor: x² + 6x + 9","(x + 3)²","(x + 9)(x + 1)","(x + 6)(x + 1)","x(x + 6) + 9",0,"x² + 6x + 9"
Algebra,"What is the midpoint of (2,5) and (8,1)?","(5,3)","(3,5)","(6,2)","(4,4)",0,"Points: (2,5) and (8,1)"
Algebra,"Solve: log(x) + log(2) = log(10)","x = 5","x = 8","x = 10","x = 2",0,"log(x) + log(2) = log(10)"
Algebra,"Simplify: (x - 2)² - (x + 1)²","-6x + 3","2x - 5","x² - 3","-6x + 5",0,"(x - 2)² - (x + 1)²"
Algebra,"What is the vertex form of y = x² + 4x + 1?","y = (x + 2)² - 3","y = (x - 2)² + 1","y = (x + 4)² - 15","y = (x + 1)² - 4",0,"y = x² + 4x + 1"
Algebra,"Solve: 3/(x+1) = 2/(x-1)","x = 5","x = -5","x = 1","x = 3",0,"3/(x+1) = 2/(x-1)"
Algebra,"Factor: 4x² - 9","(2x + 3)(2x - 3)","(4x + 9)(x - 1)","(2x - 9)(2x + 1)","(4x - 3)(x + 3)",0,"4x² - 9"
Algebra,"What is the sum of arithmetic sequence: 2, 5, 8, ..., 32?","170","187","204","221",1,"2, 5, 8, ..., 32"
Algebra,"Solve: x² + x - 12 = 0","x = 3, x = -4","x = -3, x = 4","x = 2, x = -6","x = 1, x = -12",0,"x² + x - 12 = 0"
Algebra,"Simplify: ∜(16x⁸)","2x²","4x²","2x⁴","4x⁴",0,"∜(16x⁸)"
Algebra,"What is the equation of line perpendicular to y = 2x + 1 through (0,0)?","y = -x/2","y = -2x","y = x/2","y = 2x",0,"Line: y = 2x + 1, Point: (0,0)"
Algebra,"Solve: |x + 2| = |x - 4|","x = 1","x = -1","x = 2","x = 3",0,"|x + 2| = |x - 4|"
Algebra,"Factor: x³ + 27","(x + 3)(x² - 3x + 9)","(x + 3)³","(x - 3)(x² + 3x + 9)","(x + 9)(x² - 3x + 3)",0,"x³ + 27"
Algebra,"What is the geometric mean of 4 and 16?","8","10","12","6",0,"Numbers: 4 and 16"
Algebra,"Solve: 2^x + 2^(x+1) = 12","x = 2","x = 3","x = 4","x = 1",0,"2^x + 2^(x+1) = 12"
Algebra,"Simplify: (3a²b)(2ab³)","6a³b⁴","5a³b⁴","6a²b³","5a²b³",0,"(3a²b)(2ab³)"
Algebra,"What is the remainder when x³ - 2x² + x - 3 is divided by (x - 2)?","1","3","-1","5",2,"x³ - 2x² + x - 3 ÷ (x - 2)"
Algebra,"Solve: √(2x - 1) = x - 2","x = 5","x = 3","x = 4","x = 2",0,"√(2x - 1) = x - 2"
Algebra,"Factor: 2x³ - 16","2(x - 2)(x² + 2x + 4)","2(x + 2)(x² - 2x + 4)","(2x - 4)(x² + 4)","2x(x² - 8)",0,"2x³ - 16"
Algebra,"What is the 10th term of sequence a_n = 3n - 1?","29","28","31","32",0,"a_n = 3n - 1"
Algebra,"Solve: e^(2x) = e⁶","x = 3","x = 6","x = 12","x = 2",0,"e^(2x) = e⁶"
Algebra,"Simplify: (x² - 4)/(x - 2)","x + 2","x - 2","x² + 2","x + 4",0,"(x² - 4)/(x - 2)"
Algebra,"What is the center of circle x² + y² - 4x + 6y = 12?","(2, -3)","(-2, 3)","(4, -6)","(-4, 6)",0,"x² + y² - 4x + 6y = 12"
Algebra,"Solve: log₃(x + 1) = 2","x = 8","x = 9","x = 6","x = 5",0,"log₃(x + 1) = 2"
Algebra,"Factor: x⁴ - 16","(x² + 4)(x + 2)(x - 2)","(x + 2)²(x - 2)²","(x⁴ - 4²)","(x + 4)(x - 4)(x²)",0,"x⁴ - 16"
Algebra,"What is the sum of infinite geometric series: 1 + 1/3 + 1/9 + ...?","3/2","4/3","2","5/3",0,"1 + 1/3 + 1/9 + ..."
Algebra,"Solve: x² - 6x + 8 = 0","x = 2, x = 4","x = -2, x = -4","x = 1, x = 8","x = 3, x = 3",0,"x² - 6x + 8 = 0"
Algebra,"Simplify: ∛(-64)","−4","4","−8","8",0,"∛(-64)"
Algebra,"What is the focus of parabola y² = 8x?","(2, 0)","(0, 2)","(4, 0)","(0, 4)",0,"y² = 8x"
Algebra,"Solve: 4^x = 2^(x+3)","x = 3","x = 2","x = 4","x = 1",0,"4^x = 2^(x+3)"
Algebra,"Factor: 3x² + 10x - 8","(3x - 2)(x + 4)","(3x + 2)(x - 4)","(x + 2)(3x - 4)","(x - 2)(3x + 4)",0,"3x² + 10x - 8"
Algebra,"What is the equation of asymptote of f(x) = 2/(x - 3) + 1?","x = 3, y = 1","x = 1, y = 3","x = -3, y = -1","x = 2, y = 0",0,"f(x) = 2/(x - 3) + 1"
Algebra,"Solve: |3x - 2| ≤ 7","−5/3 ≤ x ≤ 3","−3 ≤ x ≤ 5/3","−7/3 ≤ x ≤ 9/3","−2 ≤ x ≤ 4",0,"|3x - 2| ≤ 7"
Algebra,"Simplify: (2x - 1)³","8x³ - 12x² + 6x - 1","8x³ - 6x² + 12x - 1","2x³ - 3x² + 3x - 1","8x³ - 1",0,"(2x - 1)³"
Algebra,"What is the determinant of matrix [[2,3],[1,4]]?","5","11","8","6",0,"Matrix: [[2,3],[1,4]]"
Algebra,"Solve: ln(x - 1) + ln(x + 1) = ln(8)","x = 3","x = ±3","x = 2","x = 4",0,"ln(x - 1) + ln(x + 1) = ln(8)"
Algebra,"Factor: x⁶ - 1","(x³ + 1)(x³ - 1)","(x² + 1)(x² - 1)(x² + x + 1)","(x + 1)(x - 1)(x⁴ + x² + 1)","(x + 1)(x - 1)(x² + 1)(x² - x + 1)",3,"x⁶ - 1"
Algebra,"What is the coefficient of x² in (x + 2)⁴?","24","16","12","8",0,"(x + 2)⁴"
Algebra,"Solve: x⁴ - 5x² + 4 = 0","x = ±1, ±2","x = ±2, ±3","x = ±1, ±4","x = ±2, ±4",0,"x⁴ - 5x² + 4 = 0"
Algebra,"Simplify: log₂(8) + log₂(4)","5","6","7","8",0,"log₂(8) + log₂(4)"
Algebra,"What is the eccentricity of ellipse x²/25 + y²/9 = 1?","4/5","3/5","5/4","3/4",0,"x²/25 + y²/9 = 1"
Algebra,"Solve: 3^(x+1) = 9^(x-1)","x = 3","x = 2","x = 4","x = 1",0,"3^(x+1) = 9^(x-1)"
Algebra,"Factor: x⁴ + 4x² + 4","(x² + 2)²","(x + 2)⁴","(x² + 4)","(x + 1)²(x - 1)²",0,"x⁴ + 4x² + 4"
Algebra,"What is the range of f(x) = -x² + 4x - 3?","y ≤ 1","y ≥ 1","y ≤ -3","y ≥ -3",0,"f(x) = -x² + 4x - 3"
Algebra,"Solve: √(x + 3) + √(x - 1) = 4","x = 1","x = 6","x = 5","x = 3",2,"√(x + 3) + √(x - 1) = 4"
Algebra,"Simplify: (a + b)² - (a - b)²","4ab","2ab","2a² + 2b²","4a² - 4b²",0,"(a + b)² - (a - b)²"
Algebra,"What is the directrix of parabola x² = 12y?","y = -3","y = 3","x = -3","x = 3",0,"x² = 12y"
Algebra,"Solve: 2/(x-1) - 3/(x+2) = 1","x = 7","x = -7","x = 5","x = -5",0,"2/(x-1) - 3/(x+2) = 1"
Algebra,"Factor: 8x³ - 27","(2x - 3)(4x² + 6x + 9)","(2x + 3)(4x² - 6x + 9)","(8x - 27)","2(x - 3)(2x² + 3x + 9)",0,"8x³ - 27"
Algebra,"What is the period of f(x) = 3sin(2x)?","π","2π","π/2","4π",0,"f(x) = 3sin(2x)"
Algebra,"Solve: |x - 3| + |x + 1| = 8","x = 5 or x = -3","x = 4 or x = -2","x = 6 or x = -4","x = 3 or x = -1",0,"|x - 3| + |x + 1| = 8"
Algebra,"Simplify: (x³y²)²/(xy)³","x³y","x⁶y⁴","xy","x²y",0,"(x³y²)²/(xy)³"
Algebra,"What is the amplitude of f(x) = 4cos(3x - π/4)?","4","3","π/4","1",0,"f(x) = 4cos(3x - π/4)"
Algebra,"Solve: e^x - e^(-x) = 2","x = ln(1 + √2)","x = 1","x = ln(2)","x = 2",0,"e^x - e^(-x) = 2"
Algebra,"Factor: x⁴ - 2x² + 1","(x² - 1)²","(x - 1)²(x + 1)²","(x² + 1)²","(x - 1)⁴",0,"x⁴ - 2x² + 1"
Algebra,"What is the sum of first 20 terms of 3, 7, 11, 15, ...?","820","840","860","800",0,"3, 7, 11, 15, ..."
Algebra,"Solve: log(x) - log(x - 3) = log(2)","x = 6","x = 4","x = 5","x = 3",0,"log(x) - log(x - 3) = log(2)"
Algebra,"Simplify: ∛(x⁹y⁶)","x³y²","x⁹y⁶","x³y³","x²y³",0,"∛(x⁹y⁶)"
Geometry,"What is the area of a triangle with base 8 and height 6?","24","48","14","32",0,"Base = 8, Height = 6"
Geometry,"The sum of interior angles of a hexagon is:","720°","540°","360°","900°",0,"Hexagon interior angles"
Geometry,"What is the circumference of a circle with radius 5?","10π","25π","5π","20π",0,"Radius = 5"
Geometry,"The area of a circle with diameter 10 is:","25π","100π","10π","50π",0,"Diameter = 10"
Geometry,"What is the volume of a cube with side length 4?","64","16","48","32",0,"Side length = 4"
Geometry,"The Pythagorean theorem states: a² + b² = ?","c²","ab","2c","a + b",0,"Pythagorean theorem"
Geometry,"What is the perimeter of a rectangle with length 7 and width 3?","20","21","10","24",0,"Length = 7, Width = 3"
Geometry,"The area of a parallelogram with base 6 and height 4 is:","24","10","12","18",0,"Base = 6, Height = 4"
Geometry,"What is the surface area of a cube with side length 3?","54","27","18","36",0,"Side length = 3"
Geometry,"The diagonal of a square with side length 6 is:","6√2","12","6","3√2",0,"Side length = 6"
Geometry,"What is the area of a trapezoid with bases 5 and 9, height 4?","28","36","14","56",0,"Bases = 5, 9; Height = 4"
Geometry,"The volume of a cylinder with radius 3 and height 8 is:","72π","24π","48π","96π",0,"Radius = 3, Height = 8"
Geometry,"What is the measure of each interior angle of a regular octagon?","135°","120°","144°","150°",0,"Regular octagon"
Geometry,"The area of a rhombus with diagonals 8 and 6 is:","24","48","14","28",0,"Diagonals = 8, 6"
Geometry,"What is the volume of a sphere with radius 3?","36π","27π","12π","108π",0,"Radius = 3"
Geometry,"The distance between points (3, 4) and (6, 8) is:","5","7","4","6",0,"Points: (3,4) and (6,8)"
Geometry,"What is the area of an equilateral triangle with side length 6?","9√3","18√3","6√3","12√3",0,"Side length = 6"
Geometry,"The slope of a line passing through (2, 3) and (5, 9) is:","2","3","1","6",0,"Points: (2,3) and (5,9)"
Geometry,"What is the volume of a cone with radius 4 and height 9?","48π","36π","72π","144π",0,"Radius = 4, Height = 9"
Geometry,"The area of a sector with radius 6 and central angle 60° is:","6π","12π","3π","18π",0,"Radius = 6, Angle = 60°"
Geometry,"What is the perimeter of a regular pentagon with side length 8?","40","32","48","24",0,"Side length = 8"
Geometry,"The surface area of a cylinder with radius 2 and height 5 is:","28π","20π","14π","24π",0,"Radius = 2, Height = 5"
Geometry,"What is the length of an arc with radius 4 and central angle 90°?","π","2π","4π","π/2",0,"Radius = 4, Angle = 90°"
Geometry,"The area of a kite with diagonals 10 and 12 is:","60","120","30","24",0,"Diagonals = 10, 12"
Geometry,"What is the volume of a rectangular prism with dimensions 3×4×5?","60","12","47","35",0,"Dimensions: 3×4×5"
Geometry,"The centroid of a triangle divides each median in the ratio:","2:1","1:2","3:1","1:1",0,"Triangle centroid"
Geometry,"What is the area of a regular hexagon with side length 4?","24√3","48√3","16√3","32√3",0,"Side length = 4"
Geometry,"The angle inscribed in a semicircle is:","90°","180°","45°","60°",0,"Angle in semicircle"
Geometry,"What is the lateral surface area of a cone with radius 5 and slant height 13?","65π","130π","25π","39π",0,"Radius = 5, Slant height = 13"
Geometry,"The sum of opposite angles in a cyclic quadrilateral is:","180°","360°","90°","270°",0,"Cyclic quadrilateral"
Geometry,"What is the area of a triangle with sides 3, 4, and 5?","6","7.5","12","10",0,"Sides: 3, 4, 5"
Geometry,"The number of diagonals in a decagon is:","35","30","40","45",0,"Decagon diagonals"
Geometry,"What is the volume of a pyramid with base area 24 and height 9?","72","216","36","108",0,"Base area = 24, Height = 9"
Geometry,"The radius of a circle inscribed in a square with side 8 is:","4","8","2","6",0,"Square side = 8"
Geometry,"What is the perimeter of a rhombus with side length 7?","28","14","21","35",0,"Side length = 7"
Geometry,"The area of a circle inscribed in a square with side 6 is:","9π","36π","6π","12π",0,"Square side = 6"
Geometry,"What is the surface area of a sphere with radius 4?","64π","32π","48π","16π",0,"Radius = 4"
Geometry,"The height of an equilateral triangle with side 8 is:","4√3","8√3","2√3","6√3",0,"Side = 8"
Calculus,Find the limit: lim(x→2) (x² - 4)/(x - 2),4,2,0,Does not exist,0,"lim(x→2) (x² - 4)/(x - 2)"
Calculus,Evaluate: lim(x→0) sin(x)/x,0,1,-1,∞,1,"lim(x→0) sin(x)/x"
Calculus,Find: lim(x→∞) (3x² + 2x)/(x² - 1),3,0,∞,2,0,"lim(x→∞) (3x² + 2x)/(x² - 1)"
Calculus,Calculate: lim(x→1) (x³ - 1)/(x - 1),1,3,0,2,1,"lim(x→1) (x³ - 1)/(x - 1)"
Calculus,Find: lim(h→0) [(3+h)² - 9]/h,6,3,9,0,0,"lim(h→0) [(3+h)² - 9]/h"
Calculus,Evaluate: lim(x→0) (1 - cos(x))/x²,1/2,0,1,∞,0,"lim(x→0) (1 - cos(x))/x²"
Calculus,Find: lim(x→∞) (2x³ - x)/(x³ + 1),2,1,0,∞,0,"lim(x→∞) (2x³ - x)/(x³ + 1)"
Calculus,Calculate: lim(x→4) √x - 2)/(x - 4),1/4,1/2,0,∞,0,"lim(x→4) (√x - 2)/(x - 4)"
Calculus,Find: lim(x→0) tan(x)/x,1,0,∞,-1,0,"lim(x→0) tan(x)/x"
Calculus,Evaluate: lim(x→-2) (x² + 3x + 2)/(x + 2),-1,1,0,∞,0,"lim(x→-2) (x² + 3x + 2)/(x + 2)"
Calculus,Find f'(x) if f(x) = 3x² + 2x - 1,6x + 2,3x + 2,6x - 1,3x - 1,0,"f(x) = 3x² + 2x - 1"
Calculus,What is d/dx[sin(x)]?,cos(x),-cos(x),sin(x),-sin(x),0,"d/dx[sin(x)]"
Calculus,Find the derivative of f(x) = e^x,e^x,xe^(x-1),ln(x),1/x,0,"f(x) = e^x"
Calculus,Calculate d/dx[ln(x)],1/x,x,1,ln(x),0,"d/dx[ln(x)]"
Calculus,Find f'(x) if f(x) = x³ - 4x² + 2x,3x² - 8x + 2,x² - 4x + 2,3x² - 4x + 2,3x - 8x + 2,0,"f(x) = x³ - 4x² + 2x"
Calculus,What is d/dx[cos(x)]?,-sin(x),sin(x),-cos(x),cos(x),0,"d/dx[cos(x)]"
Calculus,Find the derivative of f(x) = 5x⁴,20x³,5x³,4x³,20x⁴,0,"f(x) = 5x⁴"
Calculus,Calculate d/dx[tan(x)],sec²(x),csc²(x),cos²(x),sin²(x),0,"d/dx[tan(x)]"
Calculus,Find f'(x) if f(x) = √x,1/(2√x),2√x,1/√x,√x/2,0,"f(x) = √x"
Calculus,What is d/dx[x^n]?,nx^(n-1),x^n,nx^n,x^(n-1),0,"d/dx[x^n]"
Calculus,Find the derivative of f(x) = 2x³ - 3x² + x - 5,6x² - 6x + 1,2x² - 3x + 1,6x² - 3x + 1,6x² - 6x - 5,0,"f(x) = 2x³ - 3x² + x - 5"
Calculus,Calculate d/dx[e^(2x)],2e^(2x),e^(2x),2e^x,e^(2x)/2,0,"d/dx[e^(2x)]"
Calculus,Find f'(x) if f(x) = ln(3x),3/x,1/(3x),3,1/x,0,"f(x) = ln(3x)"
Calculus,What is the derivative of f(x) = sin(2x)?,2cos(2x),cos(2x),-2sin(2x),sin(2x),0,"f(x) = sin(2x)"
Calculus,Find d/dx[x²sin(x)],2xsin(x) + x²cos(x),x²cos(x),2xsin(x),sin(x) + x²cos(x),0,"d/dx[x²sin(x)]"
Calculus,Find f'(x) if f(x) = (3x + 1)⁵,15(3x + 1)⁴,5(3x + 1)⁴,15(3x + 1)³,3(3x + 1)⁴,0,"f(x) = (3x + 1)⁵"
Calculus,Calculate d/dx[sin(x²)],2x cos(x²),cos(x²),2x sin(x²),x² cos(x²),0,"d/dx[sin(x²)]"
Calculus,Find the derivative of f(x) = e^(3x+1),3e^(3x+1),e^(3x+1),(3x+1)e^(3x),3e^(3x),0,"f(x) = e^(3x+1)"
Calculus,What is d/dx[ln(x² + 1)],2x/(x² + 1),1/(x² + 1),2x,x/(x² + 1),0,"d/dx[ln(x² + 1)]"
Calculus,Find f'(x) if f(x) = √(2x - 3),1/√(2x - 3),2/√(2x - 3),1/(2√(2x - 3)),2/(2x - 3),0,"f(x) = √(2x - 3)"
Calculus,Calculate d/dx[cos(3x - 1)],-3sin(3x - 1),3sin(3x - 1),-sin(3x - 1),cos(3x - 1),0,"d/dx[cos(3x - 1)]"
Calculus,Find the derivative of f(x) = (x² + 1)³,3(x² + 1)²,6x(x² + 1)²,3x(x² + 1)²,6(x² + 1)²,1,"f(x) = (x² + 1)³"
Calculus,What is d/dx[tan(2x)]?,2sec²(2x),sec²(2x),2tan(2x),tan²(2x),0,"d/dx[tan(2x)]"
Calculus,Find f'(x) if f(x) = e^(-x²),-2xe^(-x²),e^(-x²),-xe^(-x²),-2e^(-x²),0,"f(x) = e^(-x²)"
Calculus,Calculate d/dx[sin²(x)],2sin(x)cos(x),sin(2x),cos²(x),2sin(x),0,"d/dx[sin²(x)]"
Calculus,Find f'(x) if f(x) = x²e^x,2xe^x + x²e^x,x²e^x,2xe^x,xe^x(2 + x),0,"f(x) = x²e^x"
Calculus,Calculate d/dx[x sin(x)],sin(x) + x cos(x),x cos(x),sin(x),cos(x),0,"d/dx[x sin(x)]"
Calculus,Find the derivative of f(x) = (x + 1)(x² - 2),3x² + 2x - 2,x² + 2x - 2,3x² - 2,2x² + 2x - 2,0,"f(x) = (x + 1)(x² - 2)"
Calculus,What is d/dx[x ln(x)]?,ln(x) + 1,ln(x),1/x,x/ln(x),0,"d/dx[x ln(x)]"
Calculus,Find f'(x) if f(x) = x³ cos(x),3x² cos(x) - x³ sin(x),3x² cos(x),x³ sin(x),cos(x) - x³ sin(x),0,"f(x) = x³ cos(x)"
Calculus,Calculate d/dx[(2x + 1)(3x - 2)],6x + 1,6x - 1,12x + 1,12x - 1,0,"d/dx[(2x + 1)(3x - 2)]"
Calculus,Find the derivative of f(x) = xe^(2x),e^(2x) + 2xe^(2x),2xe^(2x),xe^(2x),e^(2x)(1 + 2x),0,"f(x) = xe^(2x)"
Calculus,What is d/dx[x² tan(x)]?,2x tan(x) + x² sec²(x),x² sec²(x),2x tan(x),tan(x) + x² sec²(x),0,"d/dx[x² tan(x)]"
Calculus,Find f'(x) if f(x) = x/(x + 1),1/(x + 1)²,-1/(x + 1)²,1/(x + 1),x/(x + 1)²,0,"f(x) = x/(x + 1)"
Calculus,Calculate d/dx[sin(x)/x],(x cos(x) - sin(x))/x²,cos(x)/x,sin(x)/x²,(cos(x) - sin(x))/x,0,"d/dx[sin(x)/x]"
Calculus,Find the derivative of f(x) = (2x + 1)/(x - 3),-7/(x - 3)²,7/(x - 3)²,-1/(x - 3)²,2/(x - 3),0,"f(x) = (2x + 1)/(x - 3)"
Calculus,What is d/dx[e^x/x]?,(xe^x - e^x)/x²,e^x/x²,(x - 1)e^x/x²,xe^x/x²,2,"d/dx[e^x/x]"
Calculus,Find f'(x) if f(x) = ln(x)/x,(1 - ln(x))/x²,1/(x ln(x)),(1 + ln(x))/x²,-ln(x)/x²,0,"f(x) = ln(x)/x"
Calculus,Calculate d/dx[x²/(2x + 1)],(2x² + 2x)/(2x + 1)²,(4x² + 2x)/(2x + 1)²,2x/(2x + 1),x(2x + 2)/(2x + 1)²,0,"d/dx[x²/(2x + 1)]"
Calculus,Find ∫ 3x² dx,x³ + C,3x³ + C,x³/3 + C,3x³/3 + C,0,"∫ 3x² dx"
Calculus,Calculate ∫ sin(x) dx,-cos(x) + C,cos(x) + C,sin(x) + C,-sin(x) + C,0,"∫ sin(x) dx"
Calculus,Find ∫ e^x dx,e^x + C,xe^x + C,e^x/x + C,xe^(x-1) + C,0,"∫ e^x dx"
Calculus,What is ∫ 1/x dx?,ln|x| + C,x + C,1/x² + C,x ln(x) + C,0,"∫ 1/x dx"
Calculus,Calculate ∫ (2x + 3) dx,x² + 3x + C,2x² + 3x + C,x² + 6x + C,2x + 3x + C,0,"∫ (2x + 3) dx"
Calculus,Find ∫ cos(x) dx,sin(x) + C,-sin(x) + C,cos(x) + C,-cos(x) + C,0,"∫ cos(x) dx"
Calculus,What is ∫ x^n dx (n ≠ -1)?,x^(n+1)/(n+1) + C,nx^(n-1) + C,x^n + C,x^(n+1) + C,0,"∫ x^n dx"
Calculus,Calculate ∫ 5 dx,5x + C,5 + C,x + C,5x,0,"∫ 5 dx"
Calculus,Find ∫ 2e^(2x) dx,e^(2x) + C,2e^(2x) + C,4e^(2x) + C,e^(2x)/2 + C,0,"∫ 2e^(2x) dx"
Calculus,What is ∫ sec²(x) dx?,tan(x) + C,sec(x) + C,-tan(x) + C,cot(x) + C,0,"∫ sec²(x) dx"
Calculus,Calculate ∫ (x³ - 2x + 1) dx,x⁴/4 - x² + x + C,x⁴ - x² + x + C,x⁴/4 - 2x² + x + C,3x² - 2 + C,0,"∫ (x³ - 2x + 1) dx"
Calculus,Find ∫ 1/(1 + x²) dx,arctan(x) + C,ln(1 + x²) + C,x/(1 + x²) + C,1/(2x) + C,0,"∫ 1/(1 + x²) dx"
Calculus,Evaluate ∫₀¹ x² dx,1/3,1,2/3,3,0,"∫₀¹ x² dx"
Calculus,Calculate ∫₁² (2x + 1) dx,6,5,4,7,0,"∫₁² (2x + 1) dx"
Calculus,Find ∫₀^π sin(x) dx,2,1,0,π,0,"∫₀^π sin(x) dx"
Calculus,What is ∫₋₁¹ x³ dx?,0,2,-2,1,0,"∫₋₁¹ x³ dx"
Calculus,Evaluate ∫₀¹ e^x dx,e - 1,e,e + 1,1,0,"∫₀¹ e^x dx"
Calculus,Calculate ∫₁⁴ 1/√x dx,4,2,6,3,1,"∫₁⁴ 1/√x dx"
